12.2 million with 512 Dimensions vectors.


system : m20 base cluster + 3 * s50 search nodes.

Non Staggered :
Host CPU count 192
======================================================================================================================================================
Pipeline                                 RPM      Threads  Sample   Reqs     NumCand   topK    P50(ms)    P70(ms)    P95(ms)    P99(ms)   
functionalHybrid               10000      57025.5    512      100      10000    10000 (100.0%) 0        300       100      184.45     231.07     3682.75    6031.68   
functionalHybrid               10000      57124.9    512      100      10000    10000 (100.0%) 0        500       100      163.87     353.39     1572.00    5074.56   
functionalHybrid               10000      25093.2    512      100      10000    10000 (100.0%) 0        500       250      366.43     435.50     739.13     18502.61  
functionalHybrid               10000      12359.9    512      100      10000    10000 (100.0%) 0        500       500      761.22     866.47     5372.62    16169.44  
VectorSearchOnly               10000      75500.7    64       100      10000    10000 (100.0%) 0        100       100      46.07      56.76      86.83      122.54    
VectorSearchOnly               10000      71433.9    64       100      10000    10000 (100.0%) 0        300       100      47.55      57.03      83.80      105.01    
VectorSearchOnly               10000      60734.2    64       100      10000    10000 (100.0%) 0        500       100      45.70      68.72      157.85     207.75    
VectorSearchOnly               10000      33650.4    64       100      10000    10000 (100.0%) 0        500       250      102.92     124.49     201.11     251.72    
VectorSearchOnly               10000      20679.2    64       100      10000    10000 (100.0%) 0        500       500      180.86     228.80     329.35     388.30    
VectorSearchOnly               10000      70726.5    128      100      10000    10000 (100.0%) 0        100       100      18.47      22.03      55.75      104.45    
VectorSearchOnly               10000      70037.3    128      100      10000    10000 (100.0%) 0        300       100      34.47      54.98      136.15     196.32    
VectorSearchOnly               10000      62421.7    128      100      10000    10000 (100.0%) 0        500       100      43.89      90.83      473.43     633.43    
VectorSearchOnly               10000      33611.4    128      100      10000    10000 (100.0%) 0        500       250      77.51      111.84     212.43     284.46    
VectorSearchOnly               10000      22335.3    128      100      10000    10000 (100.0%) 0        500       500      332.07     418.92     591.29     718.64    
VectorSearchOnly               10000      70093.2    256      100      10000    10000 (100.0%) 0        100       100      75.89      101.26     176.15     255.22    
VectorSearchOnly               10000      71933.0    256      100      10000    10000 (100.0%) 0        300       100      74.67      103.75     191.68     262.41    
VectorSearchOnly               10000      58885.7    256      100      10000    10000 (100.0%) 0        500       100      113.60     381.95     728.59     935.37    
VectorSearchOnly               10000      31492.0    256      100      10000    10000 (100.0%) 0        500       250      228.03     297.68     458.01     8294.99   
VectorSearchOnly               10000      16562.2    256      100      10000    10000 (100.0%) 0        500       500      556.17     639.81     843.27     10202.12  
VectorSearchOnly               10000      69880.4    512      100      10000    10000 (100.0%) 0        100       100      110.37     139.65     260.64     830.60    
VectorSearchOnly               10000      69622.8    512      100      10000    10000 (100.0%) 0        300       100      123.30     162.69     346.34     1073.93   
VectorSearchOnly               10000      60110.8    512      100      10000    10000 (100.0%) 0        500       100      118.98     461.17     1261.31    4133.98   
VectorSearchOnly               10000      31615.1    512      100      10000    10000 (100.0%) 0        500       250      362.08     475.08     1346.12    4277.39   
VectorSearchOnly               10000      21782.5    512      100      10000    10000 (100.0%) 0        500       500      579.68     761.78     1977.56    4263.68   
functionalHybrid               50000      63671.7    64       100      50000    50000 (100.0%) 0        100       100      58.98      72.12      103.67     129.46    
